task being queued 1
task being queued 2
task being queued 3
task being queued 4
task being queued 5
task being queued 6
task being queued 7
task being queued 8
task: 1293 | cost: 18.631535999929838
task: 2625,2671,2811,2934 | cost: 349.5659984998838
task: 615,3387 | cost: 524.1849584999727
task: 4591,4924,2337,4174,2525,4503,4782,643 | cost: 273.837278999963
task: 2177,715 | cost: 107.26451399978032
task: 1962,4473,168,2707,3839,3488,1678,2443,644,1414,3036,3818 | cost: 1051.1727104999409
task: 2541,3437,4491,5000,3621,4055,3685,381,4180 | cost: 864.229830999875
task: 3608,3756,2630,3838 | cost: 633.3087205000538
task: 724,1811,3331,1048,3350 | cost: 1260.8100840000134
task: 3117 | cost: 3.759903999934977
task: 3995,3116,67,2055,4268,1426,920,3667 | cost: 1801.3348324998333
task: 2852,4692,3259,637,4300,1559,3540,4368,2894,982,2099 | cost: 2115.595405500244
task: 3236,1351,3742,4509,3543,1939,4383,1393,1121,1875,4785,3512 | cost: 718.5415705000651
task: 3447 | cost: 573.7757504994079
task: 2939,4159,3060,3550,2927,3236,4226,2823 | cost: 225.44676150027954
task: 4983,4476,2925,4766,3382,4628,3957,1535,4318,4502,735 | cost: 1304.3765165002696
task: 2284,4871,2718,3266,2818,142,1393,3326,1080,1931,4656,3461,1035 | cost: 1422.2863149998375
task: 1474,2350,572,4266,2092,4436 | cost: 586.4954134999607
task: 4968,4615,4743,3434,641,1187,3482,3768,3327 | cost: 1391.8966415003524
task: 3474 | cost: 36.88382399968759
task: 1402 | cost: 328.1566820005537
task: 3658,592,3762,518,5010,2505 | cost: 301.01277650055636
task: 5076 | cost: 2.689760000066599
task: 2055,3131,3669,667,1677,2110,5105,3958,4240,3897,883,4852,4892,4435 | cost: 1549.0647900001022
task: 2752,4868,645,3978,2286,2696 | cost: 478.5079124994809
task: 3712,5008,3535,4336,4811,4253,1695,75,213,559,1726,4777,4191,86,4587 | cost: 3531.3841879999472
task: 3762,841,1930,5034,680,3699,4928,3119,4437,4459 | cost: 942.6490785003807
task: 4576,3347,3964,5067,318,3229,2057,2788 | cost: 276.82175149948307
task: 1124,4176,3149,1875,397,2274,1094,2605,1070 | cost: 770.2495459998318
task: 2685,4501,4179,2865,2395,4106,1763 | cost: 1055.319821500234
task: 4935,3547,4793,2484,1852,3597,1847,3926,5059,3718,2945 | cost: 392.68491999973776
task: 2777 | cost: 12.279517500246584
task: 2487,2037,979,4298,4584,3218,3882,2888,3525,3443,2077,2027 | cost: 674.0253895000023
task: 5101,3044,4151,4626,3719,2733,2675,5078,450 | cost: 598.1998105003186
task: 4503,1676,3260,660,2195,515,1619,3921,4397 | cost: 1656.4412754996738
task: 3291,1910,2431,4909,4820,4035,2292,5054,3893 | cost: 1048.9313025000229
task: 2137,3232 | cost: 44.288844499988045
task: 142,109,4457,2178,3416,4943,2829,4713,999,1793,2438,3759 | cost: 1488.2829950001906
task: 3780,2322,4177,4853,1059,126,4931,3215,4290,444,3853,2588,2022,4023 | cost: 2414.3118285001037
task: 4834,1341,3666,3301 | cost: 252.46752500015646
task: 3009,3023,2080,4011,2787,1697,4714,4657,3975,986,3327,1963,2632 | cost: 1213.524118999885
task: 2757,519,1440,4982,1927,1389,2195,3126 | cost: 740.5342309998559
task: 1924,3877,4081,4917,4321,4211,3903,1308,1942,1756,2654,2965 | cost: 3164.4690149996677
task: 3553,4654,4768,4170,3534,4460,1391,1772,1760,4314,3500,3001,1676 | cost: 2346.799071499845
task: 4100,5093,3903,1457,1135,4380 | cost: 756.1112919997868
task: 669,5114,3406,4932,1150,4541,2386,2454,3858,2903,3719,4010,3528,3154 | cost: 1129.352133500106
task: 4558,4525,1851,2159,3554,2891,4885,5026,3725,5000,4477,872 | cost: 4009.503788499842
task: 3256,3583 | cost: 771.2238849999267
task: 1289,2184,1019,1578,3099,2970,4680,570,3210,1449,143,4357 | cost: 1598.287130999779
task: 924,3062,5121,4327,4908,2003,2932,2473,3946,4333,4312,3725,3786,29,1516 | cost: 4255.941299500137
task: 4026,2284,3822,2809,3352,3160,3501,1018,2806,4709 | cost: 1373.7448264996601
task: 4200,2955,3271 | cost: 125.06401150039892
task: 3458,4612,951 | cost: 165.09481350021815
task: 4266,4880,1839,1940,2825,2277,2515,4814,966,2163,3944,3569,4220,4221 | cost: 765.511657499701
task: 1270,2839,4320,3241,1003,1436,987,4329,4102,2374,1575,3537,998,2830 | cost: 1885.4598255002202
task: 1551,2800,5077,1126,4346,2841,3729,4774,4280,4974,4964,2649,3103 | cost: 3799.645717999738
task: 654,1749,3437,2801,3385,471 | cost: 267.43519750016276
task: 4686,3100,3137,4694,1587,3710,3970,2858,928,5047,4209 | cost: 3283.8273395004762
task: 4638,4480,2925,1409,2176,3028,4292,669,1842,2000,1650,3460,3002,2807,3712 | cost: 1321.1891899995862
task: 3420,2194,1838,5096,4441 | cost: 393.8403830002244
task: 4012,2040,2797,1844,3212,206,3678,753,2809,2617 | cost: 1373.171539500163
task: 5088,2302,3402,2069 | cost: 37.80291200018837
task: 995,2193,3644,4989,2782,1237,4206,3257,4897,958,3367 | cost: 1916.3310640001328
task: 2528,4765,4616,3402,3871,3276,167,3971,3404,3266 | cost: 2144.3441325000094
task: 864,1496,46,3884,2379,76,3720,3534,3916,2665,4486,4152,2396,4257,2955 | cost: 1973.168486999839
task: 2529 | cost: 26.807788000496657
task: 5095,2629,3491,1482,3489,4464,4592,573,3866,3846,5100,4838,883 | cost: 2408.5525145001156
task: 4992,4534,1631,3342,3054,3786,101,1880,2504,4554,2505,2498,2961 | cost: 908.6106664999534
task: 4890,4627,133,422,4345,3852,646 | cost: 2015.8665970002403
task: 3977,1269,2707,5129,4226,3226,1919,3897,4571,127,75,4175,1520,59,2884 | cost: 4206.017925000197
task: 726,2573,3194,3978,1424,3928,2496,3100,5115,3147 | cost: 1192.5182954996671
task: 3238,3706,4404,4103,4789,3924,5083,3017,1419,4820 | cost: 709.288701999867
task: 3980,4991,641,2626 | cost: 597.5122744998771
task: 131,4842,2679,3026,1428,1984,3808,4700,3626,144,5040,2597,3715 | cost: 1550.548531000004
task: 3995,1811,3041,227,1922 | cost: 433.9803445004691
task: 4073,1064,4765,2009,1624,3025,2921 | cost: 337.3627595005928
task: 1517,4374,2148,4105,1227,2180,641 | cost: 316.84854849982
task: 2396,4620,516,4707,4807,4963,3309,1036,1242 | cost: 852.8770990001249
task: 1829,2049,1820,3303,1606,4560,3981,2439,2513,2307,4898 | cost: 1753.9927024999997
task: 3312,1511,4625,592,1048,1707,1593,4996,85,2894,3603,2780 | cost: 1103.438227499737
task: 4775,1557,965,5009,4865,1491,558,3794,3477,2155,3302,2571,4302,4443,2874 | cost: 3066.6419044996474
task: 3369,1917,3465,1103,3556,3074,2787,3581,620,1719 | cost: 2688.463906499692
task: 4616,5080,2860,1669,1012,3964,3922,3296,3623,3555,4323,4949,2408 | cost: 1359.9041389998092
task: 3393,4165,2372,3316,3166,5054,3554,2991,3740,3719 | cost: 604.1578275003303
task: 4584,4699,2745,3850,3640,3422,1935,1992,4400,99,4437,202 | cost: 2395.992370500153
task: 643,4747,970,4141 | cost: 796.6895570002634
task: 4984,4542,1521,3892,3944,1067,2067,2373,2565,3174,3463,2287,4885,1577 | cost: 1593.4581569999864
task: 1499,106,4634,4710 | cost: 273.8875735003603
task: 4793 | cost: 3.6788729998988856
task: 4454,1977,2186,4381 | cost: 205.9912679997069
task: 1994,4710,1452,762 | cost: 2033.0963305004843
task: 3066,2530,3455,3300,2948,3221,536,3141,3119,2972,1847,3329,144 | cost: 980.8241905002433
task: 4639,3606,4985,4840,3178,1967,2802 | cost: 415.6026665000354
task: 3699,2919,534,3929,4423,1702,1188,2801,2502,1664,92,4313 | cost: 979.9969974997111
task: 4319,3209,1802,4013,4382,4712,3105,3866,4559,4139,3641,2306,115,3421,3202 | cost: 1321.4096709998557
task: 1061,1072,4366 | cost: 552.0010139998703
task: 4538,3719,2268,3562,3162,3499,3115 | cost: 589.7267950003879
task: 3500,697,3217,4330,5036,3008,2512 | cost: 777.8681344998404
task: 2345,3124,894 | cost: 1918.1218505000288
task: 2567 | cost: 4.106706000129634
task: 4118,4688,4775,4028,894,4370,4217,951,1839,4317,2967,3355,2274,4536 | cost: 4285.9185365000485
task: 3626,4514,4152,2725,2297,506,3089,3308 | cost: 1992.6216574999671
task: 112,3001,4672,247,3650,1970 | cost: 683.2883815000059
task: 5117,2068,2102,2446,4805,1273,2368,4067 | cost: 653.4199664997686
task: 1794,1286,2084,2036,3425,2636 | cost: 751.2823149995711
task: 1837,4271,4431,1981 | cost: 555.9260935001475
task: 3204,969,1183,3808,3418,4458,52,1504,568,3371,4690,2275 | cost: 687.4928079996607
task: 2952,4790,4150,5098,1951,7,4356,4098,2175,4495 | cost: 741.2753425001029
task: 2786,5101,4175,2186,3604,3943,650,2672,778,259,2424 | cost: 972.9851464999228
task: 1664,3142,1565,3214,1137,2356,4318,2910,3386,3411,3638 | cost: 2856.5475504997266
task: 4800,2935,1645,1034,4368,2718 | cost: 962.2195250003642
task: 5107,4166,5112,591,4223,5134,4959 | cost: 155.94498700011172
task: 1684 | cost: 6.023805000495486
task: 3899,715,594,2063,637,3541,1597,2035,4255,1377,1003,4736,1813,2897 | cost: 1331.8110390000584
task: 2395,3752,2011,1320 | cost: 68.12098999989757
task: 5044,4395,897,1592,1887 | cost: 1187.1880529997725
task: 4249,169,5087,3136,264,2579,3878,4344,2483,2252,4823 | cost: 991.7657155001507
task: 1873,2052,3481,3123,1569,4540 | cost: 569.2163634998906
task: 3113,2302,3824,2131,1876,4304 | cost: 703.4777379994921
task: 5007,1783,4038,3589,4092,111,4873,3868,649,3689,3277,3560,4861,444,987 | cost: 3075.6507120004244
task: 1897,4174,4237,3617,4072,3984,1223,2664,4996,2710,3064,3755,2851,2016,3466 | cost: 1385.276559000431
task: 3119,3291,575,4383,2633,3416,3733 | cost: 565.5217369999264
task: 163,2395,2388 | cost: 300.21450000003824
task: 3484,3923,2295,1807,1724,2956,2563,1130,676,3286,4930,2365 | cost: 1298.5421404996487
task: 859,2625,2952 | cost: 1335.244007500478
task: 997 | cost: 202.25836750068993
task: 2523,4758,4438,4266,4115,2358,726 | cost: 751.0919665000984
task: 4765,3474,1144,3193,1070,3784,4547 | cost: 253.21289749945208
task: 2645,2562,4075,1906,2092,4963,4365 | cost: 410.26626650000253
task: 1707,2930,1377 | cost: 110.26365499992608
task: 3387,2924,4036,2710,4221,2153,1539,4811,3087,2891,1898,2363,4494,4663,4002 | cost: 654.2654129998482
task: 3881,1570 | cost: 72.98572099989542
task: 4203,2159,1463,2809,2984,2420,3270,5016,2869,1765,4345,1821 | cost: 2713.3838395002385
task: 3337,2710,4995,3609,4976,3782,1452,822,4247,4955,5083,136 | cost: 1247.8738229997361
task: 4565,661,1646,761,4597,1254,3688,1269 | cost: 538.4681714999715
task: 2646,3487,1449,5092,995,43,2990,2765 | cost: 1498.756527000296
task: 3950,3777,1034,3552,984 | cost: 1661.3934270003483
task: 3459 | cost: 411.5514519999124
task: 2445,4548,1200,3674,4562,4951,1605,2171 | cost: 1086.0636350003006
task: 369,1839,1071,3979,3841,4560,4399,2049,1963,267,2514,3584,3760,4487,4541 | cost: 1401.0576724999737
task: 1371,4597,2152,928,2048,2514,4261,3042,4309,5111,1507,4466,1115 | cost: 2114.586473000145
task: 2289,4452,9,3961,725 | cost: 1954.102125999725
task: 4773,2425,949,5118 | cost: 803.3148489998894
task: 2863,2273,242 | cost: 822.5775955002064
task: 3885,5031,3321,3389,5038,2972,2496,4539,3286,4368,576,2208,3759 | cost: 915.8513965003294
task: 3836,1494,2055,3316,3983,1791,3358,2467 | cost: 491.3434330005657
task: 4839,2831,1581,2572,3104,3629,1154,4078,4517,2280,3305,3651,4019,3126,2762 | cost: 1590.3113794997807
task: 4470,1642,2625,586,1065,3768,4668,2120,4800,3478,940 | cost: 1076.6141419999258
task: 1064,4877,1924,4020,3673,3532,4924,4471,1523,140,2267,4714,2774,5080 | cost: 680.6198304998361
task: 3427,1491,4138,4269,1046,4237,2478,909,1352,3692,4190,2577,4748,4585,2261 | cost: 2852.5463880000643
task: 3561,4770,2446,4145,3224,4634,4069,1267,1796,2833,3936,1536,4187 | cost: 725.983819999783
task: 1768,2639,4371,592,2592,4281,3799,3437,2595,1787,1103,3464 | cost: 2591.7884890004643
task: 2706,1878,4646,4384,3799,3860,1885,1839,3275,4771,3246,1651,1112 | cost: 1321.831036999356
task: 3480,3188,4972,3929,2022,3597,2376,2311,2516,4467,2623,1746,3417,1967 | cost: 1592.7815959998952
task: 1835,1377,2480,2580,2138,2456,3327,4544,3049 | cost: 765.8375645000888
task: 5027,3959,3091 | cost: 560.4076724998777
task: 4277,4671,3293,755,4283,5078,3339,4498,1154 | cost: 1762.6072350003597
task: 4693,5018,1744,4692,1346,1707,2830,497,3546,2691,2279,5008,1607,5034,3788 | cost: 1331.8946125000366
task: 1706,4215,2631,985,3929,730,3114,4818,2295,3965,3283 | cost: 2366.379308499745
task: 211,4059 | cost: 106.9218825000462
task: 3928,842 | cost: 361.69927999981155
task: 1294,137,208,2855,2886,1533,4750,1721,2034 | cost: 1246.454498500043
task: 4741,1110,5084,2821,2283,2080,2607,4998,4774 | cost: 1711.6361100001996
task: 2763,4152,4479,5105,3779,179,2464,939,4265,2424,2143,4015,4450,1137,1518 | cost: 1213.721990000522
task: 1717,2625,4940,2485,4407,4205,2922,4597,121,4777,3542,3337,2792 | cost: 1195.628440499604
task: 786,5118,972,4459,4617,3279,291,2584,4590,2382,144,1720 | cost: 1812.6521770000181
task: 2893,3701,1603,1839,5116 | cost: 438.4906724999382
task: 1853,1429 | cost: 241.67086450006536
task: 2674,2879,2297,4968,4069,4990,119,1270,2285,2561 | cost: 1351.6467059998831
task: 2639,1356,2929,1345,1417,4200,3163,4260,2231,2824,5100,4385 | cost: 624.2058455000006
task: 100,2069,4187,2975,3484,3599,5056,3060,2332 | cost: 1331.123553999987
task: 97,4076,2791,3022,2250,951,2714,3801,3419,1988,4369,2809,3853,3925 | cost: 801.9646555003419
task: 2842,3199,3513,5067 | cost: 433.2754750003005
task: 937,2655,2364,2447,330,4246 | cost: 193.64680900025633
task: 2281,2903,4432,3802,1019,4355,2278,3017,1726,3949,2411,3780,4529,3573 | cost: 2893.1693559998166
task: 4549,1104,3544,3942,3581,1411,1061,150,4553,2942,3427,2498 | cost: 2462.679601999753
task: 2155,2054,2329,1742,5027,750,4099,3673,4860 | cost: 786.6419485003462
task: 4123,927,3770,3263,1377,4081,2369,2664,2748,2097,1832,3636,2084 | cost: 3224.1393790000075
task: 3004,2663,3335,4115,2729,4377 | cost: 764.9968784999146
task: 736 | cost: 760.1106205001997
task: 132,4179,2796 | cost: 750.8027464996303
task: 4652,4733,3756,4502,650,4119,2426,3062,4383,2094,4397,1976,3488,1029,5040 | cost: 2071.687717999339
task: 986,3207,4595 | cost: 40.751060000275174
task: 697,680,681,2476,3413,3106,2968,1406,908,3882,3264,5091,3992 | cost: 928.9085909999812
task: 2143,2449,2227,4495,3747,4751,4633,995,2487,2227,4360 | cost: 510.69327349978266
task: 2298,3161,3065,395,3312,1372,5048 | cost: 356.3379595002516
task: 3904,3047,3111,3246,1710,1410,4228,3519,1497,2224 | cost: 377.6320819997636
task: 4040,3097,5064,1511,2999,2299,3461,3050,4132,2297,3159,1773,3592,1296,2567 | cost: 2775.50462850013
task: 4436,3314,4005,2218,515,1509,76,4252,3284,4890,1192,1445,4342,2566 | cost: 2628.83586199996
task: 3712,173,3474,2221,4317,3133,2435,2255,4855,4254,2517,5023,4662,2783 | cost: 1622.3968849999437
task: 4634,1572,3301,3087,3991,4856,1870,983,2359,1442,4825,1909,5124 | cost: 1462.287022500277
task: 3230,885,2770,3556,4917,3631,2351,3101,3170,4911,746,2150,4379,4074,4882 | cost: 3359.5539405000636
task: 2801,3121 | cost: 14.711223499944026
task: 4181,535,4129,1736,580,1995,2784,2002,3227,5118,1358 | cost: 716.3224470000387
task: 4596 | cost: 241.98496150029314
task: 2588,1441,4555,1897,4260,1597,647,4423,1953,3566,1449,4205,4346 | cost: 1613.6871404996782
task: 1547,861,2358,915,3773,4408,5060,3339 | cost: 2871.4488900004653
task: 2738,221,3809 | cost: 64.76948600038668
task: 4095,4624,1968,4901 | cost: 210.1983540001129
task: 1995,5003,1788 | cost: 737.9853185002503
task: 2446,4298,1611,2773,5085,4924,4046,2379,3047,1922,1877,1571,2244 | cost: 1542.7031425001587
task: 4670,2617,4758,4202,3858 | cost: 325.5691220006156
task: 3797,3804,755 | cost: 175.31069149981704
task: 2979,4472,3305,2424,3681,2369,4702,1240,3699,3534,3394 | cost: 798.6310450000929
task: 2174,162,3532 | cost: 710.7278224998481
task: 3448,4420,5073 | cost: 178.85858199997529
task: 3314,3833,2768,2831,4270,3056 | cost: 408.9222770003289
task: 4054,2745 | cost: 101.28930749988285
task: 3943,1397,2424,4491,5106,3342,4379,5097,2312,2293 | cost: 654.1698629998791
task: 1457 | cost: 349.277041500045
task: 2259,2463,2022,3732,2211,4083,1867,4449,3476,3859,637,660,3046,2660 | cost: 849.1905459995905
task: 2168,3033,4805,1782,3593,83,3989,1818,4441,2492,863,4837,4572 | cost: 1829.8708800002714
task: 662,4040,480,4553,760,2384,1369,4758,2047,5104,2273,1133,4448,2997 | cost: 797.5091950002025
task: 1116,1822,4094,4669,3091 | cost: 461.5289620001022
task: 4408,2714,4533,4741,3939,3300,2100,4494,4242,4970,4484,1954,2951 | cost: 721.306341500167
task: 2123,4126 | cost: 64.4820795000669
task: 2126 | cost: 51.18057050049174
task: 4777,3800,1811,667,1103 | cost: 329.40644149994114
task: 1046,520,4340,3460,3397,1832,96,1958,2475,2299,196,1145,4479,3388 | cost: 1243.7208834999183
task: 4031,876,3402,1029,715,4387,5018,4555,123,4794,1059,517,2018,4166 | cost: 2979.5110840000234
task: 1239 | cost: 32.97049899992999
